ParticipantID,Trial,Fixation,Duration,PupilSize,PositionX,PositionY,StartTime,EndTime,PositionYClean,Task,ParticipantGender,SearchOrder
1_1_f1,1,1,363,4471,852,395,58,420,686,VisualSearch,female,1
1_1_f1,1,2,289,4653,859.2,691.5,456,744,389.5,VisualSearch,female,1
1_1_f1,1,3,268,4325,643.7,814.7,775,1042,266.29999999999995,VisualSearch,female,1
1_1_f1,1,4,136,4137,1000.9,836.9,1078,1213,244.10000000000002,VisualSearch,female,1
1_1_f1,1,5,289,3857,1531.3,667.7,1261,1549,413.29999999999995,VisualSearch,female,1
1_1_f1,1,6,184,3904,1424.9,801.1,1578,1761,279.9,VisualSearch,female,1
1_1_f1,1,7,137,4031,786.5,513.4,1840,1976,567.6,VisualSearch,female,1
1_1_f1,1,8,178,4032,563.6,569.2,2037,2214,511.79999999999995,VisualSearch,female,1
1_1_f1,1,9,138,4020,483.8,638.4,2241,2378,442.6,VisualSearch,female,1
1_1_f1,1,10,212,4262,461,709.2,2427,2638,371.79999999999995,VisualSearch,female,1
1_1_f1,1,11,226,4418,682.6,829.5,2666,2891,251.5,VisualSearch,female,1
1_1_f1,1,12,221,4165,1016.4,815,2931,3151,266,VisualSearch,female,1
1_1_f1,1,13,210,4017,1468.8,728.6,3193,3402,352.4,VisualSearch,female,1
1_1_f1,1,14,213,3988,1265,702.3,3432,3644,378.70000000000005,VisualSearch,female,1
1_1_f1,1,15,288,3851,1349.8,646.9,3667,3954,434.1,VisualSearch,female,1
1_1_f1,1,16,352,3889,1676.4,693.9,3992,4343,387.1,VisualSearch,female,1
1_1_f1,1,17,289,4234,1421,887.6,4378,4666,193.39999999999998,VisualSearch,female,1
1_1_f1,1,18,334,4289,1465.6,1002.3,4692,5025,78.70000000000005,VisualSearch,female,1
1_1_f1,1,19,133,4639,560.9,868.9,5160,5292,212.10000000000002,VisualSearch,female,1
1_1_f1,1,20,165,4489,641.3,770.6,5326,5490,310.4,VisualSearch,female,1
1_1_f1,1,21,305,4067,1005.4,799.8,5528,5832,281.20000000000005,VisualSearch,female,1
1_1_f1,1,22,149,3840,840,814.6,5860,6008,266.4,VisualSearch,female,1
1_1_f1,1,23,149,3898,954.7,783.5,6034,6182,297.5,VisualSearch,female,1
1_1_f1,1,24,218,4081,930.8,765.8,6194,6411,315.20000000000005,VisualSearch,female,1
1_1_f1,1,25,181,4175,747.9,544.1,6449,6629,536.9,VisualSearch,female,1
1_1_f1,1,26,216,4250,651.8,441.3,6657,6872,639.7,VisualSearch,female,1
