ParticipantID,Trial,Saccade,Direction,Amplitude,Duration,PeakVelocity,MeanVelocity,Blink,StartTime,EndTime,StartX,StartY,EndX,EndY,StartYClean,EndYClean,Task,ParticipantGender,SearchOrder
1_1_f1,1,1,DOWN,6.94,35,407.45,198.38,false,421,455,876.4,395.1,868.9,676.6,685.9,404.4,VisualSearch,female,1
1_1_f1,1,2,LEFT,4.45,30,269.3,148.43,false,745,774,850.7,705.9,638.1,806.3,375.1,274.70000000000005,VisualSearch,female,1
1_1_f1,1,3,RIGHT,6.52,35,330.06,186.42,false,1043,1077,644.8,819.7,1014.5,835.4,261.29999999999995,245.60000000000002,VisualSearch,female,1
1_1_f1,1,4,RIGHT,10.34,47,408.62,220.05,false,1214,1260,993.9,831.7,1550.3,686.3,249.29999999999995,394.70000000000005,VisualSearch,female,1
1_1_f1,1,5,DOWN,3.55,28,213.11,126.85,false,1550,1577,1527.1,665.9,1434.2,801,415.1,280,VisualSearch,female,1
1_1_f1,1,6,LEFT,13.15,78,404.06,168.58,false,1762,1839,1422.5,793.8,784.5,518.6,287.20000000000005,562.4,VisualSearch,female,1
1_1_f1,1,7,LEFT,4.18,60,268.96,69.66,false,1977,2036,795.3,513.6,578.4,570.7,567.4,510.29999999999995,VisualSearch,female,1
1_1_f1,1,8,DOWN,2.48,26,168.09,95.53,false,2215,2240,570.3,572.4,474.2,646.8,508.6,434.20000000000005,VisualSearch,female,1
1_1_f1,1,9,DOWN,1.53,48,151.8,31.89,false,2379,2426,470.1,642.8,452.5,705.9,438.20000000000005,375.1,VisualSearch,female,1
1_1_f1,1,10,RIGHT,4.68,27,302.07,173.29,false,2639,2665,480.7,700,679.8,833.1,381,247.89999999999998,VisualSearch,female,1
1_1_f1,1,11,RIGHT,6.57,39,335.49,168.44,false,2892,2930,667.1,834.5,1038.5,812.9,246.5,268.1,VisualSearch,female,1
1_1_f1,1,12,RIGHT,8.39,41,337.67,204.67,false,3152,3192,1012.3,815.9,1477.1,734.8,265.1,346.20000000000005,VisualSearch,female,1
1_1_f1,1,13,LEFT,3.68,29,205.56,126.79,false,3403,3431,1464.9,728.4,1260,701.2,352.6,379.79999999999995,VisualSearch,female,1
1_1_f1,1,14,RIGHT,1.91,22,127.8,86.91,false,3645,3666,1265.7,704.4,1353.9,658.8,376.6,422.20000000000005,VisualSearch,female,1
1_1_f1,1,15,RIGHT,6.41,37,319.38,173.19,false,3955,3991,1341,648.6,1699,708.8,432.4,372.20000000000005,VisualSearch,female,1
1_1_f1,1,16,DOWN,6.29,34,310.79,185.14,false,4344,4377,1661.1,685.7,1422,893.4,395.29999999999995,187.60000000000002,VisualSearch,female,1
1_1_f1,1,17,DOWN,2.61,25,163.31,104.28,false,4667,4691,1428.2,890,1469.5,1003.6,191,77.39999999999998,VisualSearch,female,1
1_1_f1,1,18,LEFT,15.7,134,466.54,117.17,false,5026,5159,1466.2,1000.6,565,867.1,80.39999999999998,213.89999999999998,VisualSearch,female,1
1_1_f1,1,19,UP,2.76,33,158.55,83.71,false,5293,5325,574.1,868.4,659.8,767.9,212.60000000000002,313.1,VisualSearch,female,1
1_1_f1,1,20,RIGHT,6.96,37,359.23,188.01,false,5491,5527,629.1,774.3,1020.9,794.4,306.70000000000005,286.6,VisualSearch,female,1
1_1_f1,1,21,LEFT,3.02,27,194.73,112.02,false,5833,5859,1005.4,802.5,836.2,819.1,278.5,261.9,VisualSearch,female,1
1_1_f1,1,22,RIGHT,2.39,25,155.44,95.59,false,6009,6033,832.1,810.8,960.8,781.2,270.20000000000005,299.79999999999995,VisualSearch,female,1
1_1_f1,1,23,LEFT,0.68,11,55.07,62.2,false,6183,6193,960,780.5,922.3,775,300.5,306,VisualSearch,female,1
1_1_f1,1,24,UP,5.86,37,232,158.47,false,6412,6448,942.8,758,742.1,566,323,515,VisualSearch,female,1
1_1_f1,1,25,UP,2.87,27,159.15,106.29,false,6630,6656,751.8,537.1,654.5,446.4,543.9,634.6,VisualSearch,female,1
1_1_f1,1,26,LEFT,4.86,213,229.47,22.83,false,6873,7085,656,441.1,392,404.9,639.9,676.1,VisualSearch,female,1
1_1_f1,1,27,RIGHT,5.62,34,264.38,165.35,false,7222,7255,404,410.4,710.2,445.8,670.6,635.2,VisualSearch,female,1
1_1_f1,1,28,RIGHT,15.33,53,540.75,289.25,false,7427,7479,679.9,432.2,1527.2,452.3,648.8,628.7,VisualSearch,female,1
1_1_f1,1,29,LEFT,4.29,45,239.69,95.27,false,7716,7760,1505.5,437.8,1269.9,457,643.2,624,VisualSearch,female,1
1_1_f1,1,30,LEFT,10.3,161,365.52,64,false,7977,8137,1280.4,459.9,824.5,224.8,621.1,856.2,VisualSearch,female,1
1_1_f1,1,31,RIGHT,13.99,60,542.92,233.19,false,8171,8230,837.6,212.3,1602.4,192.1,868.7,888.9,VisualSearch,female,1
1_1_f1,1,32,RIGHT,1.71,22,113.29,77.9,false,8424,8445,1610.2,194,1703.7,177.4,887,903.6,VisualSearch,female,1
1_1_f1,1,33,LEFT,24.52,392,562.27,62.56,true,8692,9083,1673.3,189.1,413.3,603.9,891.9,477.1,VisualSearch,female,1
1_1_f1,1,34,DOWN,1.52,21,96.57,72.24,false,9302,9322,416.8,617.6,448.6,676.6,463.4,404.4,VisualSearch,female,1
1_1_f1,1,35,RIGHT,7.66,37,377.22,207.14,false,9504,9540,456.5,673.9,869.5,590.3,407.1,490.70000000000005,VisualSearch,female,1
1_1_f1,1,36,RIGHT,3.7,24,223.94,154.16,false,9772,9795,848,586.3,1051.1,588.2,494.70000000000005,492.79999999999995,VisualSearch,female,1
1_1_f1,1,37,LEFT,4.15,48,232.54,86.56,false,9938,9985,1026,590,798.8,575,491,506,VisualSearch,female,1
1_1_f1,1,38,RIGHT,9.05,52,416.89,173.98,false,10536,10587,807.8,588.3,1307,617.4,492.70000000000005,463.6,VisualSearch,female,1
1_1_f1,1,39,UP,0.94,19,61.26,49.59,false,10863,10881,1296.4,626.2,1300.5,587.5,454.79999999999995,493.5,VisualSearch,female,1
1_1_f1,1,40,LEFT,1.33,19,94.75,69.82,false,11041,11059,1287.7,582.5,1215.9,571.6,498.5,509.4,VisualSearch,female,1
1_1_f1,1,41,RIGHT,7.89,59,361.84,133.71,false,11196,11254,1229.6,577.7,1670,630,503.29999999999995,451,VisualSearch,female,1
1_1_f1,2,1,LEFT,2.06,24,138.72,85.79,false,275,298,1685.6,623.3,1567.1,623.3,457.70000000000005,457.70000000000005,VisualSearch,female,1
1_1_f1,2,2,LEFT,9.83,295,1111.39,33.32,true,431,725,1576.9,618.2,1039.7,533.2,462.79999999999995,547.8,VisualSearch,female,1
1_1_f1,2,3,UP,3.35,32,164.26,104.65,false,880,911,1081.8,503.9,1059.8,371.6,577.1,709.4,VisualSearch,female,1
1_1_f1,2,4,RIGHT,3.6,205,239.22,17.58,false,965,1169,1102.2,365.9,1246.4,270.8,715.1,810.2,VisualSearch,female,1
1_1_f1,2,5,.,0.49,24,21.69,20.26,false,1190,1213,1231.5,275.5,1256.3,281.8,805.5,799.2,VisualSearch,female,1
1_1_f1,2,6,LEFT,0.54,51,37.71,10.64,false,1257,1307,1274.7,279.5,1247,286.6,801.5,794.4,VisualSearch,female,1
1_1_f1,2,7,.,0.16,29,75.07,5.54,false,1378,1406,1256.2,277.9,1252.5,272.2,803.1,808.8,VisualSearch,female,1
1_1_f1,2,8,DOWN,11.55,77,419.42,150.02,false,1459,1535,1253,273,1158.6,738.5,808,342.5,VisualSearch,female,1
1_1_f1,2,9,.,0.19,16,25.83,11.71,false,1600,1615,1151,731,1153.9,723.4,350,357.6,VisualSearch,female,1
1_1_f1,2,10,LEFT,4.6,50,293.05,92.07,false,1817,1866,1149.6,722.4,927.9,823.6,358.6,257.4,VisualSearch,female,1
1_1_f1,2,11,LEFT,4.21,57,253.86,73.89,false,2115,2171,930.9,818.4,710.4,752,262.6,329,VisualSearch,female,1
1_1_f1,2,12,UP,5.93,56,224.67,105.93,false,2345,2400,711.5,750.7,655.4,508.4,330.29999999999995,572.6,VisualSearch,female,1
1_1_f1,2,13,.,0.15,39,31.23,3.8,false,2475,2513,657.1,512.9,652.4,508,568.1,573,VisualSearch,female,1
1_1_f1,2,14,DOWN,1.01,180,134.09,5.62,false,2574,2753,646,508.6,611.1,540.6,572.4,540.4,VisualSearch,female,1
