ParticipantID,Trial,Saccade,CURRENT_SAC_DIRECTION,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_PEAK_VELOCITY,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_START_TIME,CURRENT_SAC_END_TIME,Duration,CURRENT_SAC_START_X,CURRENT_SAC_START_Y,CURRENT_SAC_END_X,CURRENT_SAC_END_Y,CURRENT_SAC_CONTAINS_BLINK,Condition,Order,Task,ParticipantGender,Stimulus,ActorGender,Directionality,Ostension,Year
FOMG1,1,1,DOWN,3.08,80.98,73.23,390,430,42,958.3,461.4,906.8,579.5,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,2,RIGHT,3.7,120.02,88.01,708,748,42,881.1,614.4,1084.5,618.8,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,3,DOWN,1.26,71.71,69.74,922,938,18,1080.2,625.8,1068.3,677,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,4,RIGHT,7.35,256.26,136.11,1100,1152,54,1068.1,688.7,1420,857.6,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,5,DOWN,1.61,79.42,62.09,1424,1448,26,1433.2,865.3,1498.8,916.9,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,6,DOWN,1.7,92.41,77.32,1590,1610,22,1494.8,904.1,1441.5,969,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,7,LEFT,5.58,218.21,154.97,1880,1914,36,1445.4,982.9,1171,850.9,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,8,LEFT,9.59,260.53,184.34,2144,2194,52,1133.4,820.5,592.2,885.5,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,9,LEFT,2.33,131.62,89.72,2388,2412,26,589.6,885.4,484,951,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,10,LEFT,4.68,162.75,111.43,2712,2752,42,505,946.4,245.5,873.6,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,11,RIGHT,2.4,132.52,99.8,2976,2998,24,235,876.8,340.6,806.3,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,12,UP,2.39,141.21,92.09,3178,3202,26,330.2,797.2,379.3,700.8,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,13,UP,1.93,107.59,87.94,3444,3464,22,363.4,718.5,290.3,656.4,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,14,UP,2.09,121.16,94.99,3686,3706,22,260.3,630.2,244.5,543.6,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,15,RIGHT,2.97,115,87.31,4050,4082,34,229.8,540.8,397,522.7,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,16,UP,2.86,160.51,119.32,4284,4306,24,389.1,521.7,425.4,408.6,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,17,LEFT,3.26,134.99,101.92,4506,4536,32,413.3,388,233.7,415.4,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,18,UP,7.18,151.06,119.69,4786,4844,60,225.1,416.2,309.3,134.5,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,19,RIGHT,8.82,260.9,176.33,5006,5054,50,299.7,134.3,763.5,232.3,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,20,RIGHT,10.19,220.68,159.15,5310,5372,64,762.8,231.1,1303.8,161.5,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,21,RIGHT,6.98,188.53,151.83,5550,5594,46,1306.5,161.4,1683,101.2,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,22,LEFT,4.59,255.38,134.95,5834,5866,34,1700.1,51.5,1488,152.8,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,23,DOWN,1.88,102.96,85.44,6110,6130,22,1476.3,159.9,1541,217.8,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,24,LEFT,1.01,64.6,63.41,6326,6340,16,1538.4,219.1,1484.5,230.1,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,25,RIGHT,1.41,80.79,78.18,6522,6538,18,1487.7,236.7,1564.8,228.8,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,26,LEFT,7.6,224.54,165.16,6690,6734,46,1568.9,232.5,1168.3,153.3,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,27,DOWN,6.27,228.3,156.74,6996,7034,40,1152.5,147.3,921.1,324.9,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,28,DOWN,4.89,210.96,135.79,7256,7290,36,914.2,327.9,1080.2,478.6,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,29,RIGHT,7.68,244.17,132.43,7420,7476,58,1079.4,478.2,1502.6,464.9,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,30,LEFT,3.45,169.13,132.67,7778,7802,26,1521.1,463,1348.6,524.6,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,31,LEFT,2.13,123.78,88.65,7978,8e3,24,1284.1,520.6,1167.3,524.4,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,32,LEFT,7.86,222.88,151.13,8212,8262,52,1172.8,524.3,742.8,513.3,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,33,RIGHT,5.51,240.56,153.15,8436,8470,36,734.9,511.8,1032.7,547,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,34,DOWN,2.13,113.92,96.89,8730,8750,22,1037.9,554.7,980.8,630.8,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,35,LEFT,2.67,141.53,102.72,8906,8930,26,977.2,641.3,832.7,620,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,36,LEFT,4.02,188.44,125.6,9094,9124,32,827.9,615.7,612.6,659.2,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,37,DOWN,2.36,114.38,90.8,9394,9418,26,587.1,655.6,589.9,755.2,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,38,UP,2.36,115.59,90.89,9564,9588,26,590.7,758.7,551.8,663.2,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,39,LEFT,2.13,102.9,88.78,9902,9924,24,529.1,629.2,409.8,640.5,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,40,RIGHT,7.41,270.98,176.35,10268,10308,42,379.6,643.4,792.3,687.8,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,41,LEFT,0.54,43.08,45.24,10642,10652,12,797.5,682.3,769.6,691,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,1,42,.,0.4,37.07,40.3,10914,10922,10,763.4,695.9,743.2,703.3,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,1,RIGHT,3.66,182.95,130.61,36,62,28,737.7,709.9,936.3,676.5,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,2,UP,3.94,205.76,151.55,462,486,26,960.2,648.8,926.5,490.2,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,3,DOWN,3.62,144.33,113.12,774,804,32,906.7,473.8,1008.3,599.4,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,4,LEFT,1.84,105.6,83.72,1066,1086,22,1000.1,606.6,925.9,555.6,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,5,RIGHT,3.09,157.49,110.45,1242,1268,28,932.5,558,1089.3,606.4,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,6,LEFT,0.69,46.84,49.1,1474,1486,14,1079.5,603.8,1041.7,603.4,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,7,RIGHT,3.02,186.16,71.89,1706,1746,42,1050.2,611,1170.7,697.8,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,8,DOWN,4.65,169.06,101.02,1928,1972,46,1172.5,713.7,1070.9,898.6,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,9,LEFT,3.45,163.55,115.11,2198,2226,30,1066.9,888.9,892.1,961,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,10,LEFT,2.22,122.16,92.62,2438,2460,24,873.1,945.3,779.1,878.7,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,11,UP,7.61,190.81,135.86,2792,2846,56,765.5,865.3,498.7,610.9,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,12,RIGHT,1.77,109.46,73.79,3086,3108,24,484.2,605.4,570,569,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,13,UP,5.44,218.13,93.88,3304,3360,58,552.8,568.5,619.9,354.9,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,14,RIGHT,1.7,98.36,85.07,3550,3568,20,619.9,338.1,693.6,297.8,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,15,UP,1.34,78.71,74.59,3732,3748,18,703.9,263.2,727.1,213.6,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,16,DOWN,5.35,251.28,167.17,3908,3938,32,717.1,210.1,909.3,366.1,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,17,DOWN,1.52,86.47,75.87,4160,4178,20,919.8,392.1,866.4,437.8,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,18,LEFT,3.07,151.15,109.62,4482,4508,28,868.8,442.8,726.9,507.9,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,19,DOWN,1.36,74.74,67.86,4796,4814,20,719.8,519.6,691.2,570.5,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,20,RIGHT,8.17,268.37,170.3,5122,5168,48,679.4,578.9,1109.1,685.5,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,21,RIGHT,2.85,170.23,67.79,5370,5410,42,1109.4,678.6,1265.3,701.5,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,22,LEFT,3.7,186.04,123.45,5598,5626,30,1269.3,711.1,1068.9,752.4,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,23,DOWN,1.97,117.5,82.19,5838,5860,24,1058,754.3,1101.7,832.1,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
FOMG1,2,24,UP,3.32,178.89,127.82,5990,6014,26,1097.6,824.2,993.8,706.6,0,Search,First,VisualSearch,NA,NA,NA,NA,NA,2017
